X,Y,Name,Stacked,AnnoLine1,AnnoLine2,AnnoLine3,AnnoAngle,Borough
989778.8311,178620.0972,Windsor Terrace,2,Windsor,Terrace,,0,Brooklyn
993997.2456,185862.9672,Prospect Heights,2,Prospect,Heights,,0,Brooklyn
1009153.468,181184.0206,Brownsville,1,Brownsville,,,0,Brooklyn
995862.5814,196911.0314,Williamsburg,1,Williamsburg,,,0,Brooklyn
1004975.114,193627.8238,Bushwick,1,Bushwick,,,0,Brooklyn
1000395.025,189658.8025,Bedford Stuyvesant,1,Bedford Stuyvesant,,,0,Brooklyn
985974.1685,192798.4317,Brooklyn Heights,2,Brooklyn,Heights,,0,Brooklyn
984648.9706,189904.1412,Cobble Hill,2,Cobble,Hill,,0,Brooklyn
985732.8514,187215.6204,Carroll Gardens,2,Carroll,Gardens,,0,Brooklyn
980710.9208,185653.9552,Red Hook,2,Red,Hook,,0,Brooklyn
985792.0425,184807.7436,Gowanus,1,Gowanus,,,0,Brooklyn
991764.0106,190126.6437,Fort Greene,2,Fort,Greene,,0,Brooklyn
990616.1533,184221.7336,Park Slope,2,Park,Slope,,0,Brooklyn
1018471.053,187913.9687,Cypress Hills,2,Cypress,Hills,,0,Brooklyn
1017344.892,183370.9345,East New York,1,East New York,,,0,Brooklyn
1017724.754,175233.5827,Starrett City,2,Starrett,City,,0,Brooklyn
1011424.051,170844.7857,Canarsie,1,Canarsie,,,0,Brooklyn
1003926.103,168972.8324,Flatlands,1,Flatlands,,,0,Brooklyn
1009744.103,160194.4625,Mill Island,2,Mill,Island,,0,Brooklyn
999934.713,149830.9671,Manhattan Beach,2,Manhattan,Beach,,0,Brooklyn
987393.9156,148506.9176,Coney Island,1,Coney Island,,,0,Brooklyn
984596.5085,157697.2339,Bath Beach,2,Bath,Beach,,0,Brooklyn
986887.3011,169943.0381,Borough Park,2,Borough,Park,,0,Brooklyn
978888.1767,164875.3189,Dyker Heights,2,Dyker,Heights,,0,Brooklyn
1003663.187,154546.1772,Gerritsen Beach,2,Gerritsen,Beach,,0,Brooklyn
1003312.751,161431.4183,Marine Park,1,Marine Park,,,0,Brooklyn
993167.4077,191840.2538,Clinton Hill,2,Clinton,Hill,,0,Brooklyn
982062.8889,149265.6336,Sea Gate,2,Sea,Gate,,0,Brooklyn
988835.919,190969.9783,Downtown,1,Downtown,,,0,Brooklyn
988757.2689,189089.6209,Boerum Hill,2,Boerum,Hill,,0,Brooklyn
996763.533,179159.7753,Prospect Lefferts Gardens,3,Prospect,Lefferts,Gardens,0,Brooklyn
1008362.294,186448.7226,Ocean Hill,2,Ocean,Hill,,0,Brooklyn
1020869.483,186525.3435,City Line,2,City,Line,,0,Brooklyn
1012414.177,163408.2618,Bergen Beach,2,Bergen,Beach,,0,Brooklyn
996021.1503,167200.683,Midwood,1,Midwood,,,0,Brooklyn
994624.8916,175001.2741,Prospect Park South,2,Prospect,Park South,,0,Brooklyn
1007547.417,166571.1846,Georgetown,1,Georgetown,,,0,Brooklyn
1001201.301,197405.2942,East Williamsburg,2,East,Williamsburg,,0,Brooklyn
995669.0523,199708.4546,North Side,1,North Side,,,0,Brooklyn
995893.6332,198265.2905,South Side,1,South Side,,,0,Brooklyn
993032.7236,162632.1768,Ocean Parkway,2,Ocean,Parkway,,0,Brooklyn
975371.46,163254.6119,Fort Hamilton,2,Fort,Hamilton,,0,Brooklyn
985835.8515,199995.6522,Chinatown,1,Chinatown,,,0,Manhattan
1001706.475,249654.8377,Washington Heights,2,Washington,Heights,,0,Manhattan
1006041.886,255408.1385,Inwood,1,Inwood,,,0,Manhattan
998174.7097,239342.4466,Hamilton Heights,2,Hamilton,Heights,,0,Manhattan
996045.4872,236911.2474,Manhattanville,2,Manhattanville,,,0,Manhattan
999969.0719,236564.3078,Central Harlem,2,Central,Harlem,,0,Manhattan
999705.7798,227919.7007,East Harlem,2,East,Harlem,,0,Manhattan
995188.0523,221865.328,Upper East Side,3,Upper,East,Side,0,Manhattan
998896.5065,221973.4052,Yorkville,1,Yorkville,,,0,Manhattan
995645.7646,219123.5963,Lenox Hill,2,Lenox,Hill,,0,Manhattan
998331.6818,216956.1124,Roosevelt Island,1,Roosevelt Island,,,56,Manhattan
990602.67,226242.7785,Upper West Side,3,Upper,West,Side,0,Manhattan
988311.0713,221094.5736,Lincoln Square,2,Lincoln,Square,,0,Manhattan
985325.0723,215837.6606,Clinton,1,Clinton,,,0,Manhattan
989328.7129,214231.5385,Midtown,1,Midtown,,,0,Manhattan
990253.7459,211904.3856,Murray Hill,2,Murray,Hill,,0,Manhattan
983386.4709,210348.5544,Chelsea,1,Chelsea,,,0,Manhattan
984273.8284,204117.8074,Greenwich Village,2,Greenwich,Village,,0,Manhattan
989176.2851,204451.2663,East Village,2,East,Village,,0,Manhattan
989547.3326,200793.4525,Lower East Side,3,Lower,East,Side,0,Manhattan
981288.686,202146.6233,Tribeca,1,Tribeca,,,0,Manhattan
984997.1461,201345.5921,Little Italy,2,Little,Italy,,0,Manhattan
984067.9787,202387.5844,Soho,1,Soho,,,0,Manhattan
982537.2948,206850.7346,West Village,2,West,Village,,0,Manhattan
994138.304,229759.4421,Manhattan Valley,2,Manhattan,Valley,,0,Manhattan
994244.6519,233655.2109,Morningside Heights,2,Morningside,Heights,,0,Manhattan
989411.2101,207862.5696,Gramercy,1,Gramercy,,,0,Manhattan
979573.3023,198652.9692,Battery Park City,3,Battery,Park,City,0,Manhattan
981292.9918,196894.8507,Financial District,2,Financial,District,,0,Manhattan
1007613.563,219276.4207,Astoria,1,Astoria,,,0,Queens
1011448.495,211206.9812,Woodside,1,Woodside,,,0,Queens
1016716.121,213265.4823,Jackson Heights,2,Jackson,Heights,,0,Queens
1017042.769,210375.7177,Elmhurst,1,Elmhurst,,,0,Queens
1029162.118,177669.7878,Howard Beach,2,Howard,Beach,,0,Queens
1023924.434,209778.7376,Corona,1,Corona,,,0,Queens
1027357.734,203547.9693,Forest Hills,2,Forest,Hills,,0,Queens
1031434.217,196238.0502,Kew Gardens,2,Kew,Gardens,,0,Queens
1030880.833,193602.2451,Richmond Hill,2,Richmond,Hill,,0,Queens
1030850.995,217832.7694,Flushing,1,Flushing,,,0,Queens
1001095.354,212606.9187,Long Island City,3,Long,Island,City,0,Queens
1004502.529,208951.2413,Sunnyside,1,Sunnyside,,,0,Queens
1021081.403,217677.1782,East Elmhurst,2,East,Elmhurst,,0,Queens
1013016.016,203586.3435,Maspeth,1,Maspeth,,,0,Queens
1011576.718,197353.088,Ridgewood,1,Ridgewood,,,0,Queens
1020089.357,195338.2167,Glendale,1,Glendale,,,0,Queens
1023654.733,204893.461,Rego Park,1,Rego Park,,,0,Queens
1023599.199,190652.6995,Woodhaven,1,Woodhaven,,,0,Queens
1027739.453,187315.7914,Ozone Park,1,Ozone Park,,,0,Queens
1036995.679,182904.2812,South Ozone Park,2,South,Ozone Park,,0,Queens
1027715.084,225277.0551,College Point,2,College,Point,,0,Queens
1035705.32,223976.7165,Whitestone,1,Whitestone,,,0,Queens
1046777.524,218446.5753,Bayside,1,Bayside,,,0,Queens
1041936.766,216863.9098,Auburndale,1,Auburndale,,,0,Queens
1056571.624,220217.3362,Little Neck,2,Little,Neck,,0,Queens
1055578.616,218764.3096,Douglaston,1,Douglaston,,,0,Queens
1063082.966,212446.1782,Glen Oaks,2,Glen,Oaks,,0,Queens
1061819.707,204839.3354,Bellerose,1,Bellerose,,,0,Queens
1033900.338,202582.0404,Kew Gardens Hills,3,Kew,Gardens,Hills,0,Queens
1044468.272,206910.9803,Fresh Meadows,2,Fresh,Meadows,,0,Queens
